user_id,timestamp,activity_type,resource,status,data_volume_mb
USER_0061,2026-01-08 18:18:21.471900,email_send,resource_2,failed,856.6
USER_0077,2026-01-07 18:18:21.471900,login,resource_48,blocked,542.72
USER_0084,2025-11-20 18:18:21.471900,email_send,resource_3,blocked,638.78
USER_0066,2025-12-20 18:18:21.471900,login,resource_13,success,296.38
USER_0056,2025-11-18 18:18:21.471900,login,resource_24,success,149.38
USER_0078,2026-02-03 18:18:21.471900,email_send,resource_1,failed,634.16
USER_0002,2026-02-10 18:18:21.471900,file_access,resource_13,failed,249.98
USER_0074,2025-12-06 18:18:21.471900,login,resource_37,blocked,3.78
USER_0095,2026-01-17 18:18:21.471900,file_access,resource_2,success,897.27
USER_0028,2026-02-05 18:18:21.471900,login,resource_25,blocked,522.41
USER_0080,2026-01-07 18:18:21.471900,email_send,resource_9,failed,265.37
USER_0041,2026-01-26 18:18:21.471900,file_access,resource_36,blocked,904.68
USER_0035,2025-12-07 18:18:21.471900,file_access,resource_2,success,900.91
USER_0018,2026-02-15 18:18:21.471900,email_send,resource_7,success,202.11
USER_0038,2026-02-04 18:18:21.471900,file_access,resource_26,success,659.65
USER_0034,2025-12-07 18:18:21.471900,login,resource_11,success,167.61
USER_0074,2026-01-09 18:18:21.471900,data_download,resource_33,blocked,656.15
USER_0046,2025-11-25 18:18:21.471900,data_download,resource_31,success,684.21
USER_0041,2026-02-07 18:18:21.471900,login,resource_39,success,588.2
USER_0045,2025-12-31 18:18:21.471900,email_send,resource_40,blocked,79.38
USER_0016,2026-01-20 18:18:21.471900,email_send,resource_31,success,412.03
USER_0004,2026-02-01 18:18:21.471900,email_send,resource_9,failed,816.7
USER_0082,2026-01-15 18:18:21.471900,data_download,resource_3,failed,71.38
USER_0098,2025-11-29 18:18:21.471900,data_download,resource_19,failed,290.26
USER_0014,2025-12-26 18:18:21.471900,file_access,resource_35,failed,41.04
USER_0075,2026-01-21 18:18:21.471900,login,resource_22,failed,208.88
USER_0048,2026-01-17 18:18:21.471900,data_download,resource_47,failed,508.93
USER_0016,2026-01-15 18:18:21.471900,email_send,resource_34,blocked,470.04
USER_0076,2026-01-20 18:18:21.471900,login,resource_8,failed,501.3
USER_0012,2026-01-10 18:18:21.471900,file_access,resource_20,blocked,21.51
USER_0038,2026-01-28 18:18:21.471900,login,resource_39,failed,220.51
USER_0020,2026-01-31 18:18:21.471900,data_download,resource_36,failed,261.77
USER_0084,2025-12-17 18:18:21.471900,login,resource_48,success,807.73
USER_0040,2026-01-17 18:18:21.471900,email_send,resource_25,success,226.46
USER_0096,2025-12-03 18:18:21.471900,data_download,resource_2,success,744.72
USER_0079,2025-12-18 18:18:21.471900,data_download,resource_22,failed,943.83
USER_0023,2026-01-14 18:18:21.471900,file_access,resource_43,success,707.17
USER_0091,2025-12-20 18:18:21.471900,login,resource_22,success,384.01
USER_0017,2025-11-28 18:18:21.471900,email_send,resource_27,failed,910.12
USER_0042,2025-12-05 18:18:21.471900,login,resource_38,failed,97.07
USER_0049,2026-02-07 18:18:21.471900,data_download,resource_30,blocked,618.38
USER_0097,2026-02-02 18:18:21.471900,data_download,resource_36,success,590.87
USER_0070,2026-02-07 18:18:21.471900,login,resource_2,failed,391.02
USER_0083,2025-11-23 18:18:21.471900,login,resource_32,blocked,116.38
USER_0040,2026-01-15 18:18:21.471900,email_send,resource_29,blocked,576.32
USER_0062,2025-12-31 18:18:21.471900,login,resource_7,blocked,803.96
USER_0069,2026-01-07 18:18:21.471900,login,resource_35,success,608.9
USER_0005,2026-02-04 18:18:21.471900,login,resource_18,success,671.67
USER_0066,2026-02-11 18:18:21.471900,login,resource_31,blocked,944.69
USER_0050,2025-12-12 18:18:21.471900,login,resource_25,success,987.14
USER_0050,2026-01-12 18:18:21.471900,data_download,resource_31,failed,21.77
USER_0024,2026-02-01 18:18:21.471900,data_download,resource_27,blocked,140.2
USER_0027,2026-02-10 18:18:21.471900,login,resource_49,blocked,158.55
USER_0077,2026-02-07 18:18:21.471900,data_download,resource_3,blocked,102.25
USER_0004,2025-12-19 18:18:21.471900,login,resource_46,success,622.63
USER_0065,2025-12-04 18:18:21.471900,data_download,resource_24,blocked,642.72
USER_0001,2026-01-19 18:18:21.471900,email_send,resource_5,failed,928.66
USER_0059,2025-12-26 18:18:21.471900,login,resource_7,success,180.17
USER_0090,2025-12-07 18:18:21.471900,email_send,resource_38,failed,966.36
USER_0065,2025-12-28 18:18:21.471900,file_access,resource_22,failed,853.85
