user_id,timestamp,source_ip,login_status,failed_attempts,location
USER_0084,2026-01-09 18:18:21.494302,140.211.61.216,success,0,Office
USER_0009,2025-12-16 18:18:21.494302,125.126.208.180,success,1,VPN
USER_0045,2026-01-16 18:18:21.494302,143.70.34.89,failed,4,VPN
USER_0089,2026-02-15 18:18:21.494302,100.122.241.158,failed,3,Remote
USER_0036,2026-02-05 18:18:21.494302,196.159.220.182,failed,1,Remote
USER_0008,2025-11-20 18:18:21.494302,151.204.235.46,success,3,Office
USER_0099,2026-01-11 18:18:21.494302,220.106.59.94,success,5,Office
USER_0081,2025-12-06 18:18:21.494302,148.226.6.130,success,0,Office
USER_0043,2026-02-11 18:18:21.494302,58.168.25.231,failed,5,VPN
USER_0093,2025-12-26 18:18:21.494302,139.139.245.105,failed,0,Remote
USER_0034,2025-12-28 18:18:21.494302,222.100.217.124,success,5,VPN
USER_0048,2025-12-24 18:18:21.494302,248.15.175.129,failed,4,VPN
USER_0093,2025-12-01 18:18:21.494302,252.2.103.168,failed,3,VPN
USER_0075,2026-02-07 18:18:21.494302,226.44.7.134,success,1,VPN
USER_0096,2026-01-04 18:18:21.494302,122.72.182.158,failed,5,Remote
USER_0040,2026-02-16 18:18:21.494302,215.202.207.113,success,3,Office
USER_0098,2025-11-26 18:18:21.494302,208.73.173.112,success,1,Remote
USER_0070,2025-12-19 18:18:21.494302,143.226.51.227,success,0,Office
USER_0094,2026-01-09 18:18:21.494302,12.136.32.159,success,0,Office
USER_0072,2026-01-13 18:18:21.494302,6.72.116.202,success,5,Remote
USER_0010,2025-12-15 18:18:21.494302,147.129.152.99,failed,2,Office
USER_0008,2026-01-24 18:18:21.494302,85.41.2.199,failed,1,VPN
USER_0042,2025-12-22 18:18:21.494302,67.108.162.246,failed,0,Remote
USER_0034,2025-11-24 18:18:21.494302,81.88.85.213,success,0,Office
USER_0008,2025-12-09 18:18:21.494302,186.6.114.228,failed,0,VPN
USER_0012,2025-12-22 18:18:21.494302,18.192.194.50,success,4,VPN
USER_0038,2025-12-22 18:18:21.494302,141.44.185.138,failed,4,VPN
USER_0027,2026-01-04 18:18:21.494302,237.33.85.50,success,5,Remote
USER_0020,2026-02-09 18:18:21.494302,13.23.222.189,failed,2,VPN
USER_0034,2026-01-22 18:18:21.494302,1.7.55.83,success,2,Office
USER_0051,2026-01-07 18:18:21.494302,89.188.155.199,failed,5,VPN
USER_0083,2025-11-19 18:18:21.494302,144.138.11.44,success,0,Remote
USER_0075,2025-12-22 18:18:21.494302,144.66.39.247,success,2,Remote
USER_0095,2026-01-05 18:18:21.494302,53.149.146.249,success,5,Office
USER_0016,2025-12-19 18:18:21.494302,135.166.41.16,success,4,Remote
USER_0092,2026-01-24 18:18:21.494302,45.94.167.62,failed,0,Office
USER_0070,2026-02-14 18:18:21.494302,105.111.20.161,failed,1,Office
