user_id,department,role,tenure_months
USER_0001,HR,Engineer,12
USER_0002,Finance,Specialist,56
USER_0003,Legal,Engineer,36
USER_0004,Operations,Manager,94
USER_0005,HR,Analyst,59
USER_0006,Sales,Manager,103
USER_0007,Legal,Manager,20
USER_0008,Operations,Manager,30
USER_0009,Operations,Manager,72
USER_0010,IT,Engineer,72
USER_0011,HR,Specialist,6
USER_0012,Legal,Director,10
USER_0013,Operations,Director,100
USER_0014,Legal,Engineer,84
USER_0015,Legal,Manager,101
USER_0016,Finance,Analyst,25
USER_0017,Legal,Director,27
USER_0018,HR,Engineer,52
USER_0019,HR,Specialist,103
USER_0020,Operations,Director,96
USER_0021,HR,Analyst,82
USER_0022,IT,Director,62
USER_0023,Sales,Analyst,112
USER_0024,Finance,Director,39
USER_0025,IT,Analyst,96
USER_0026,Operations,Specialist,74
USER_0027,Operations,Specialist,7
USER_0028,Legal,Manager,43
USER_0029,IT,Director,70
USER_0030,Finance,Analyst,118
USER_0031,IT,Specialist,39
USER_0032,Sales,Director,116
USER_0033,Operations,Manager,22
USER_0034,Sales,Engineer,20
USER_0035,HR,Manager,6
USER_0036,Legal,Director,114
USER_0037,Finance,Analyst,46
USER_0038,Finance,Analyst,34
USER_0039,HR,Analyst,104
USER_0040,Operations,Engineer,41
USER_0041,Finance,Analyst,105
USER_0042,IT,Manager,52
USER_0043,Legal,Analyst,103
USER_0044,Finance,Specialist,115
USER_0045,IT,Manager,96
USER_0046,Sales,Engineer,7
USER_0047,Legal,Director,9
USER_0048,Legal,Manager,25
USER_0049,HR,Engineer,16
USER_0050,Operations,Analyst,35
USER_0051,HR,Director,47
USER_0052,Finance,Specialist,71
USER_0053,IT,Manager,101
USER_0054,IT,Analyst,86
USER_0055,Operations,Director,6
USER_0056,IT,Director,120
USER_0057,HR,Engineer,105
USER_0058,Operations,Analyst,39
USER_0059,HR,Specialist,56
USER_0060,Operations,Analyst,37
USER_0061,Legal,Manager,23
USER_0062,Operations,Director,50
USER_0063,Operations,Specialist,83
USER_0064,Sales,Analyst,61
USER_0065,Finance,Analyst,81
USER_0066,Legal,Specialist,61
USER_0067,IT,Specialist,87
USER_0068,Finance,Engineer,51
USER_0069,Legal,Specialist,7
USER_0070,Sales,Specialist,80
USER_0071,Sales,Director,41
USER_0072,Finance,Manager,35
USER_0073,IT,Engineer,67
USER_0074,Operations,Analyst,63
USER_0075,Sales,Analyst,45
USER_0076,Operations,Specialist,48
USER_0077,Legal,Specialist,39
USER_0078,Legal,Engineer,73
USER_0079,Finance,Engineer,72
USER_0080,HR,Specialist,53
USER_0081,Finance,Director,55
USER_0082,Sales,Manager,69
USER_0083,Sales,Analyst,20
USER_0084,IT,Specialist,30
USER_0085,Finance,Manager,113
USER_0086,IT,Manager,78
USER_0087,Finance,Engineer,107
USER_0088,Operations,Specialist,110
USER_0089,Sales,Engineer,91
USER_0090,Sales,Manager,48
USER_0091,HR,Engineer,43
USER_0092,Legal,Engineer,32
USER_0093,Sales,Engineer,58
USER_0094,Legal,Specialist,22
USER_0095,IT,Director,116
USER_0096,Legal,Analyst,15
USER_0097,Sales,Engineer,11
USER_0098,HR,Engineer,6
USER_0099,Finance,Engineer,88
USER_0100,Finance,Specialist,34
