user_id,total_activities,failed_activities,downloads_count,activity_frequency,activity_hour_mean,activity_hour_std,activity_after_hours_rate,activity_weekend_rate,sensitive_files_accessed,after_hours_access,sensitive_after_hours_rate,total_logins,failed_logins,failed_login_rate,unique_ips,unique_locations,login_hour_mean,login_hour_std,after_hours_login_rate,weekend_login_rate,avg_session_duration,std_session_duration,login_to_activity_ratio,download_rate,risk_score,anomaly_score,supervised_score,risk_level,confidence
USER_0014,40,11,9,0.45454545454545453,18.0,0.0,0.0,0.175,22,7,0.3181818181818182,15,9,0.6,15,3,18.0,0.0,0.0,0.2,0,0,0.375,0.225,10.0,0.7478096111260343,1.0,Critical,49.56192222520686
USER_0037,50,20,11,0.5555555555555556,18.0,0.0,0.0,0.24,27,9,0.3333333333333333,11,9,0.8181818181818182,11,3,18.0,0.0,0.0,0.45454545454545453,0,0,0.22,0.22,10.0,0.6637863432848757,0.9607843160629272,Critical,32.75726865697515
USER_0065,42,14,9,0.4666666666666667,18.0,0.0,0.0,0.19047619047619047,29,14,0.4827586206896552,14,8,0.5714285714285714,14,3,18.0,0.0,0.0,0.2857142857142857,0,0,0.3333333333333333,0.21428571428571427,10.0,0.8187825844062877,0.9607843160629272,Critical,63.75651688125754
USER_0043,41,21,7,0.4659090909090909,18.0,0.0,0.0,0.24390243902439024,21,9,0.42857142857142855,21,8,0.38095238095238093,21,3,18.0,0.0,0.0,0.3333333333333333,0,0,0.5121951219512195,0.17073170731707318,9.756398867775646,0.6453209151005935,1.0,Critical,29.064183020118705
USER_0088,42,11,13,0.4772727272727273,18.0,0.0,0.0,0.35714285714285715,23,12,0.5217391304347826,18,5,0.2777777777777778,18,3,18.0,0.0,0.0,0.3333333333333333,0,0,0.42857142857142855,0.30952380952380953,9.565399648859309,0.6857386336929772,0.9607843160629272,Critical,37.14772673859543
USER_0034,49,11,11,0.6049382716049383,18.0,0.0,0.0,0.3877551020408163,17,6,0.35294117647058826,25,10,0.4,25,3,18.0,0.0,0.0,0.32,0,0,0.5102040816326531,0.22448979591836735,8.948908141675082,0.593793855695268,0.8333333333333334,Critical,18.7587711390536
USER_0009,44,18,5,0.5238095238095238,18.0,0.0,0.0,0.38636363636363635,21,9,0.42857142857142855,20,9,0.45,20,3,18.0,0.0,0.0,0.4,0,0,0.45454545454545453,0.11363636363636363,8.75560889031259,0.5604983309276599,0.7318810721238455,Critical,12.099666185531976
USER_0064,48,18,14,0.5393258426966292,18.0,0.0,0.0,0.375,21,7,0.3333333333333333,20,8,0.4,20,3,18.0,0.0,0.0,0.3,0,0,0.4166666666666667,0.2916666666666667,8.421380725432778,0.7762928257113131,0.3803647384047508,Critical,55.25856514226262
USER_0067,49,16,12,0.5384615384615384,18.0,0.0,0.0,0.24489795918367346,29,16,0.5517241379310345,17,11,0.6470588235294118,17,3,18.0,0.0,0.0,0.29411764705882354,0,0,0.3469387755102041,0.24489795918367346,8.33984367158539,0.7404908718133983,0.0,Critical,48.09817436267967
USER_0077,53,18,11,0.6162790697674418,18.0,0.0,0.0,0.24528301886792453,23,11,0.4782608695652174,16,7,0.4375,16,3,18.0,0.0,0.0,0.3125,0,0,0.3018867924528302,0.20754716981132076,8.225806451612904,1.0,0.0,Critical,100.0
USER_0089,52,18,18,0.6190476190476191,18.0,0.0,0.0,0.4230769230769231,12,9,0.75,12,5,0.4166666666666667,12,3,18.0,0.0,0.0,0.25,0,0,0.23076923076923078,0.34615384615384615,8.167470694199269,0.6023854272860317,0.9607843160629272,Critical,20.477085457206346
USER_0019,45,20,11,0.5232558139534884,18.0,0.0,0.0,0.26666666666666666,25,13,0.52,12,7,0.5833333333333334,12,3,18.0,0.0,0.0,0.4166666666666667,0,0,0.26666666666666666,0.24444444444444444,8.161127717630198,0.8729432197301299,0.08333333333333333,Critical,74.58864394602598
USER_0093,42,19,9,0.4666666666666667,18.0,0.0,0.0,0.30952380952380953,18,9,0.5,19,11,0.5789473684210527,19,3,18.0,0.0,0.0,0.3157894736842105,0,0,0.4523809523809524,0.21428571428571427,8.05336788875552,0.8078156416076279,0.16958042234182358,Critical,61.563128321525575
USER_0052,44,16,7,0.4888888888888889,18.0,0.0,0.0,0.25,27,12,0.4444444444444444,14,10,0.7142857142857143,14,3,18.0,0.0,0.0,0.21428571428571427,0,0,0.3181818181818182,0.1590909090909091,7.995214814464079,0.6969988819009174,0.05524821082750956,High,39.39977638018348
USER_0072,54,16,11,0.6206896551724138,18.0,0.0,0.0,0.25925925925925924,31,13,0.41935483870967744,13,7,0.5384615384615384,13,3,18.0,0.0,0.0,0.38461538461538464,0,0,0.24074074074074073,0.2037037037037037,7.967150799975258,0.7358643850424542,0.007897753268480301,High,47.17287700849084
USER_0095,45,18,11,0.5,18.0,0.0,0.0,0.35555555555555557,21,10,0.47619047619047616,22,11,0.5,22,3,18.0,0.0,0.0,0.36363636363636365,0,0,0.4888888888888889,0.24444444444444444,7.891316719570019,0.7764529740971332,0.06060606241226196,High,55.290594819426644
USER_0044,50,22,15,0.5681818181818182,18.0,0.0,0.0,0.4,17,8,0.47058823529411764,16,6,0.375,16,3,18.0,0.0,0.0,0.375,0,0,0.32,0.3,7.807656035774489,0.8001792667235259,0.36821160713831586,High,60.03585334470518
USER_0055,52,17,17,0.5714285714285714,18.0,0.0,0.0,0.25,21,11,0.5238095238095238,17,7,0.4117647058823529,17,3,18.0,0.0,0.0,0.29411764705882354,0,0,0.3269230769230769,0.3269230769230769,7.7547618562024025,0.9306259479215684,0.0,High,86.12518958431367
USER_0006,50,18,14,0.5747126436781609,18.0,0.0,0.0,0.34,20,8,0.4,14,11,0.7857142857142857,14,3,18.0,0.0,0.0,0.2857142857142857,0,0,0.28,0.28,7.681222502911063,0.7935775151286875,0.0,High,58.71550302573749
USER_0016,50,14,13,0.5882352941176471,18.0,0.0,0.0,0.26,18,9,0.5,22,13,0.5909090909090909,22,3,18.0,0.0,0.0,0.4090909090909091,0,0,0.44,0.26,7.650759707379265,0.7174657947821634,0.06060606241226196,High,43.49315895643269
USER_0018,48,16,11,0.5333333333333333,18.0,0.0,0.0,0.3333333333333333,17,10,0.5882352941176471,19,8,0.42105263157894735,19,3,18.0,0.0,0.0,0.3684210526315789,0,0,0.3958333333333333,0.22916666666666666,7.6452608454464155,0.9450798331195018,0.025641026596228283,High,89.01596662390037
USER_0039,54,22,11,0.6067415730337079,18.0,0.0,0.0,0.2962962962962963,19,9,0.47368421052631576,14,7,0.5,14,3,18.0,0.0,0.0,0.35714285714285715,0,0,0.25925925925925924,0.2037037037037037,7.613955823082308,0.9438115364157382,0.0,High,88.76230728314765
USER_0086,43,10,9,0.5119047619047619,18.0,0.0,0.0,0.20930232558139536,22,11,0.5,21,13,0.6190476190476191,21,3,18.0,0.0,0.0,0.19047619047619047,0,0,0.4883720930232558,0.20930232558139536,7.5557519150358115,0.49816343000993824,0.19230769326289496,High,0.367313998012353
USER_0013,42,19,11,0.4666666666666667,18.0,0.0,0.0,0.16666666666666666,20,11,0.55,17,9,0.5294117647058824,17,3,18.0,0.0,0.0,0.35294117647058826,0,0,0.40476190476190477,0.2619047619047619,7.505700143659117,0.801894726797101,0.025641026596228283,High,60.378945359420214
USER_0021,53,16,16,0.5955056179775281,18.0,0.0,0.0,0.22641509433962265,23,14,0.6086956521739131,14,10,0.7142857142857143,14,3,18.0,0.0,0.0,0.21428571428571427,0,0,0.2641509433962264,0.3018867924528302,7.497491393136996,0.710778378238166,0.0,High,42.1556756476332
USER_0003,51,21,13,0.5604395604395604,18.0,0.0,0.0,0.3333333333333333,23,8,0.34782608695652173,18,13,0.7222222222222222,18,3,18.0,0.0,0.0,0.2222222222222222,0,0,0.35294117647058826,0.2549019607843137,7.43872504781398,0.5889439347645551,0.0,High,17.788786952911018
USER_0042,42,16,11,0.46153846153846156,18.0,0.0,0.0,0.14285714285714285,23,10,0.43478260869565216,13,7,0.5384615384615384,13,3,18.0,0.0,0.0,0.23076923076923078,0,0,0.30952380952380953,0.2619047619047619,7.4301966266612585,0.7818667738149176,0.025641026596228283,High,56.37335476298353
USER_0078,41,19,12,0.45054945054945056,18.0,0.0,0.0,0.36585365853658536,21,11,0.5238095238095238,16,9,0.5625,16,3,18.0,0.0,0.0,0.4375,0,0,0.3902439024390244,0.2926829268292683,7.407933658571639,0.7724903270853061,0.0,High,54.49806541706121
USER_0023,51,18,18,0.5862068965517241,18.0,0.0,0.0,0.29411764705882354,26,11,0.4230769230769231,18,8,0.4444444444444444,18,3,18.0,0.0,0.0,0.1111111111111111,0,0,0.35294117647058826,0.35294117647058826,7.38765980516553,0.6004376375654095,0.10897435992956161,High,20.087527513081895
USER_0069,53,22,14,0.6022727272727273,18.0,0.0,0.0,0.3584905660377358,21,9,0.42857142857142855,16,12,0.75,16,3,18.0,0.0,0.0,0.4375,0,0,0.3018867924528302,0.2641509433962264,7.38112792046822,0.6586460354165942,0.0,High,31.729207083318833
