threshold,precision,recall,f1,alerts,avg_score_alerts,precision_at_10
0.0,0.1,1.0,0.18181818181818182,20,0.06315805576741695,0.1
0.01,0.25,0.5,0.3333333333333333,4,0.3157902788370848,0.1
0.02,0.25,0.5,0.3333333333333333,4,0.3157902788370848,0.1
0.03,0.25,0.5,0.3333333333333333,4,0.3157902788370848,0.1
0.04,0.25,0.5,0.3333333333333333,4,0.3157902788370848,0.1
0.05,0.25,0.5,0.3333333333333333,4,0.3157902788370848,0.1
0.06,0.25,0.5,0.3333333333333333,4,0.3157902788370848,0.1
0.07,0.3333333333333333,0.5,0.4,3,0.3994836600290405,0.1
0.08,0.3333333333333333,0.5,0.4,3,0.3994836600290405,0.1
0.09,0.3333333333333333,0.5,0.4,3,0.3994836600290405,0.1
0.1,0.3333333333333333,0.5,0.4,3,0.3994836600290405,0.1
0.11,0.3333333333333333,0.5,0.4,3,0.3994836600290405,0.1
0.12,0.3333333333333333,0.5,0.4,3,0.3994836600290405,0.1
0.13,0.3333333333333333,0.5,0.4,3,0.3994836600290405,0.1
0.14,0.3333333333333333,0.5,0.4,3,0.3994836600290405,0.1
0.15,0.3333333333333333,0.5,0.4,3,0.3994836600290405,0.1
0.16,0.3333333333333333,0.5,0.4,3,0.3994836600290405,0.1
0.17,0.3333333333333333,0.5,0.4,3,0.3994836600290405,0.1
0.18,0.3333333333333333,0.5,0.4,3,0.3994836600290405,0.1
0.19,0.3333333333333333,0.5,0.4,3,0.3994836600290405,0.1
0.2,0.3333333333333333,0.5,0.4,3,0.3994836600290405,0.1
0.21,0.3333333333333333,0.5,0.4,3,0.3994836600290405,0.1
0.22,0.3333333333333333,0.5,0.4,3,0.3994836600290405,0.1
0.23,0.5,0.5,0.5,2,0.4885076967378458,0.1
0.24,0.5,0.5,0.5,2,0.4885076967378458,0.1
0.25,0.5,0.5,0.5,2,0.4885076967378458,0.1
0.26,0.5,0.5,0.5,2,0.4885076967378458,0.1
0.27,0.5,0.5,0.5,2,0.4885076967378458,0.1
0.28,0.5,0.5,0.5,2,0.4885076967378458,0.1
0.29,0.5,0.5,0.5,2,0.4885076967378458,0.1
0.3,0.5,0.5,0.5,2,0.4885076967378458,0.1
0.31,0.5,0.5,0.5,2,0.4885076967378458,0.1
0.32,1.0,0.5,0.6666666666666666,1,0.6639148965477943,0.1
0.33,1.0,0.5,0.6666666666666666,1,0.6639148965477943,0.1
0.34,1.0,0.5,0.6666666666666666,1,0.6639148965477943,0.1
0.35000000000000003,1.0,0.5,0.6666666666666666,1,0.6639148965477943,0.1
